Name,Filename,Request,Thought bubble,Song,Furniture List,Furniture Name List,Unique Entry ID
Ace,brd09,The Fishin' Hole,I want a place where I can fish to my heart's content.,To the Edge,3064;13637;13347,cooler box;outdoor folding chair;yacht,yrzvoz4kNmqN8N2pX
Admiral,brd06,Cool Country Cabin,I want a cool cabin where I can relax on hot days!,K.K. Rally,2736;2326;5979,retro fan;water pump;bamboo noodle slide,2dKeMSMjBLekssvwo
Agent S,squ05,Training Grounds for a Hero,"Heroes train! It's what they do, even on vacation!",Go K.K. Rider,7653;4015;4078,speed bag;shower booth;barbell,EN7dGxBHogyTYD4pS
Agnes,pig17,The Artsiest Art Museum,I want a place that's like a museum with artsy furniture!,K.K. Fugue,1712;13255;13302,poster stand;elaborate display case;decorative pillar,pmmgTrYA9hvoj2v9b
Al,gor08,Gymnastics School for Kids,My dream is to someday teach gymnastics to kids.,K.K. Étude,12701;13188;7845,school locker;ball catcher;pull-up-bar stand,XKm6cmQjf4eFAHMRT
Alfonso,crd00,Castle Sky Cake,"I want to float high in the sky, surrounded by cake...",K.K. Slack-Key,12769;13245;6829,dessert case;Yule log;crescent-moon chair,FGmWv7DJwEG8KkwpA
Alice,kal01,An Antique Cottage,I want a taste of the refined lifestyle...with antique goods.,K.K. Aria,1606;12995;12613,serving cart;simple sofa;fancy tea set,c4W8pxksmH6WCyrYa
Alli,crd01,My Mushroom Forest,I want to relax in a forest surrounded by mushrooms.,K.K. Milonga,4708;808;4035,mush low stool;mush table;log garden lounge,CFdokXcvTP7nHNtYa
Amelia,pbr01,Beloved Hanging Gardens,I want a place where my greenery can get lots of light.,K.K. Condor,12675;13576;967,plant partition;schefflera;flower bed,uNCfPyf8AwJBLxrG8
Anabelle,ant03,Anabelle's Gathering Garden,I'd love a garden where all my friends can gather...,K.K. Calypso,13141;3595,elegant sofa;park clock,tZGHM5q3zHHkijodW
Anchovy,brd02,A Place Where They Sell Hats,"If I had tons of hats, would it feel like a hat shop?",K.K. Country,12879;12776;1868,tabletop POP display;counter table;desk mirror,WqojcnSmCBynDZsCc
Angus,bul00,A Lighthouse Lifestyle,I think a vacation home with a lighthouse would be fun...,K.K. Island,13513;2335;665,fish container;lighthouse;wave breaker,Z4eWe596LeHee4oSJ
Anicotti,mus10,Pizza-Party HQ,I want to have outdoor pizza parties with my friends!,K.K. Blues,13496;14466;1157,stonework kitchen;pizza margherita;brick oven,9wPh9G7JTX4cz6msS
Ankha,cat19,Ancient Oasis,I enjoy the elegance of the ancient world.,K.K. Bazaar,5941;13368,golden dung beetle;elegant mirror,6wRGp6SxfJPajDH9r
Annalisa,ant08,Secret Supper Club,I'd love an exclusive and secret supper club...,King K.K.,716;13611;12818,screen;Japanese-style meal;super-premium nigirizushi,XcxQtkSie55wSzF8z
Annalise,hrs09,A Home with a Terrace,Terraces are wonderful. I simply must have one.,K.K. Love Song,3396;2586;13272,natural garden table;natural garden chair;evergreen ash,qZbyAvebHd3WLrmj7
Antonio,ant01,A Simple Stronghold,Is it too much to ask for a simple stronghold?,Space K.K.,12999;12996;12994,simple table;simple chair;simple bed,LxWj8HeeKh3JzshQ8
Apollo,pbr00,A Home in the Rough,"I like to go off the beaten path, to spots no one's seen.",K.K. Condor,13662;14887,ruined decorated pillar;ruined broken pillar,Y8wf9zd43wwsaZoGB
Apple,ham01,My Own Apple Orchard,Wouldn't a home filled with yummy apples be totes cool?,DJ K.K.,2596;4134;975,juicy-apple TV;apple chair;fruit basket,7oT4ELYj2mZTZmojq
Astrid,kgr05,Jam Space for the Band,I want all my friends to come over for band practice!,Rockin' K.K.,1803;1644;1045,drum set;rock guitar;silver mic,TG2Dzv4dJEnZSHa7W
Audie,wol12,DJ Party Zone,I want a place where I can always be the DJ!,K.K. Robot Synth,941;8096;969,DJ's turntable;record box;floor monitor,cSKm2Fi3PzF8k56DR
Aurora,pgn00,A Florist's Flower Shop,I love flower shops and all their pretty flowers...,Mountain Song,12608;7527;8419,flower display case;flower stand;garden wagon,rtKKgZRA69D5Y2HF3
Ava,chn05,My Gastronomy Garden,I'd like a vacation home for offering cooking lessons.,K.K. Bossa,998;1043;12822,kitchen island;microwave;bread,rPfTeqciNCmuNkXCx
Avery,pbr05,Rocky Refuge,Being near lots of rocks might be nice. They're real quiet.,K.K. Marathon,730;729;11941,tall garden rock;garden rock;stone arch,EZjoQktRHTMPW4seQ
Axel,elp06,My Muscular Sweets Store,All I can think about is making really awesome sweets!,K.K. Birthday,3993;13957;12708,analog kitchen scale;mixed-fruits pie;cooking tools,JQQw9wAvfzWMY2vj5
Azalea,rhn05,House of Green Furniture,I think green furniture is what I need to feel refreshed.,K.K. Groove,1263;1627;1626,pear wardrobe;iron garden table;iron garden chair,CjxnjsY9FMa7na87i
Baabara,shp01,Home for a Ballet Dancer,I'd like to dance gracefully in a home built like a stage.,K.K. Aria,7189;13469,studio spotlight;stage lights,DXCnwKEB9vBc8rxDA
Bam,der01,My Cooking Life,I want a place I can cook anything. Particularly rice!,K.K. Faire,1229;1888,bathroom sink;rice cooker,YXK7DqndZJvNtKcYQ
Bangle,tig03,Animal-Stuff Abode,A shop all full of animal stuff would be the best!,DJ K.K.,8302;12778,leopard tee;touchscreen cash register,eEJgGpgSw6v3kSBfB
Barold,cbr16,A Hot-Pot Potluck Place,I want a place with lots of pots for a hot-pot potluck!,K.K. Dirge,12705;1849,stewpot;kotatsu,Rc9QRDQE3Mmweeibp
Bea,dog10,My Own Garden Plot,I want a place to raise and care for my plants...,I Love You,12608;13577;967,flower display case;potted starter plants;flower bed,a7dzp2z38vcEe3NCv
Beardo,bea13,A Proper English Garden,I want to enjoy a proper cup of tea in an English garden...,Soulful K.K.,12613;1625;967,fancy tea set;iron garden bench;flower bed,vN4D9a5ByRa6iLtqP
Beau,der07,My Own Personal Picnic Park,I wanna picnic inside and outside. Picnic everywhere!,K.K. Polka,1082;14182;14791,picnic basket;pull-apart bread;basket bag,fJ2tqbbwYHtYXkHdB
Becky,chn09,A Place for Choir Practice,I want a place to practice with the choir group I'm forming.,Soulful K.K.,1058;1875;3681,music stand;grand piano;piano bench,NaiPeMcL495svX6Jj
Bella,mus02,My Voice-Training Studio,It's real important for me to keep up my voice training.,K.K. Metal,1045;1836;793,silver mic;humidifier;high-end stereo,RS6ARpyhSns8quian
Benedict,chn01,A Space Station All to Myself,I wanna go on space walks in my own personal outer space.,My Place,1443;1444;1054,satellite;space shuttle;moon,EYYoHK4N6NawnNrkm
Benjamin,dog16,"A Restful, Rural Retreat",I want a rural escape that's as sleepy as I am...,K.K. Island,1108;13370;7229,retro TV;wheat field;handcart,roSuxCiaWXbhimrh6
Bertha,hip03,Bungalow of Cozy Baskets,"I want a place filled with all sorts of warm, cozy baskets.",Wandering,1082;4048;975,picnic basket;rattan towel basket;fruit basket,EGbgiRfTnYf3SacLu
Bettina,mus15,A Peerless Patisserie,I want to make cakes as good as the best cake bakeries do.,Café K.K.,12769;12775;13727,dessert case;afternoon-tea set;dessert carrier,vkPggJbra7w89b957
Bianca,tig06,My Winter Wonderland,"I grew up around snow, so I want a snowy vacation home!",K.K. Steppe,1141;5337;3501,ski rack;three-tiered snowperson;frozen sculpture,HiPrcZ7DtaCyukzfP
Biff,hip04,Alien Cyborg Lab,"I want a UFO to come build me a bigger, buffer bod.",K.K. Adventure,13506;13516;1447,science pod;amazing machine;flying saucer,2AoitAG3mnRKY6nxh
Big Top,elp02,A Hero's Buffet,I want a place where I can make enough food for a hero.,K.K. Blues,4109;3619;1888,double-door refrigerator;soup kettle;rice cooker,X2p5y3LuaGykt5dMd
Bill,duk00,My Old Summertime Shelter,I want every day to feel like I'm on a summer vacation!,K.K. Rally,12784;667;9584,melon soda;shaved-ice maker;beach ball,SqYkARXeP3jqLwCGj
Billy,goa02,A Place for Pottery,I want a place to make pottery around the clock!,Animal City,1157;7258;4073,brick oven;modeling clay;classic pitcher,aqaM8NCA9YhwhARuX
Biskit,dog03,A Personal Park to Picnic In,It'd be fun to have a picnic in my very own park.,K.K. Hop,1631;13637;1082,garden faucet;outdoor folding chair;picnic basket,KLJvGznS3nxRtWkmJ
